id,ts,texto,intent,origem,arquivo_origem,is_ruido,fonte,split,is_synth_test,lado,texto_clean,texto_tokens,texto_clean2,flag_tamanho,flag_sugestao
6e5173ce406e6d86,,de todo modo agradeco por perguntar,agradecimento,raw,nan,False,original,train,,cliente,de todo modo agradeco por perguntar,"['todo', 'modo', 'agradeco', 'perguntar']",todo modo agradeco perguntar,False,False
58c246aeb9ce9f16,,agradeco o feedback,agradecimento,raw,nan,False,original,train,,cliente,agradeco o feedback,"['agradeco', 'feedback']",agradeco feedback,False,False
bf5cd3b6d66ca38f,,obg!!,agradecimento,raw,nan,False,original,train,,cliente,obg,[],,False,False
7d26ed2bf0bc8bc9,,tem body preto tamanho 40?,buscar_produto_por_categoria,synthetic,nan,False,synthetic,train,,cliente,tem body preto tamanho 40,"['body', 'preto', 'tamanho']",body preto tamanho,True,False
f8ddcc6d39326159,,tem vestido verde tamanho 38?,buscar_produto_por_categoria,synthetic,nan,False,synthetic,train,,cliente,tem vestido verde tamanho 38,"['vestido', 'verde', 'tamanho']",vestido verde tamanho,True,False
b8e8ac385634feef,,tem blazer verde tamanho 42?,buscar_produto_por_categoria,synthetic,nan,False,synthetic,train,,cliente,tem blazer verde tamanho 42,"['blazer', 'verde', 'tamanho']",blazer verde tamanho,True,False
410facf8b869cb55,,tem jaqueta preto tamanho 40?,buscar_produto_por_categoria,synthetic,nan,False,synthetic,train,,cliente,tem jaqueta preto tamanho 40,"['jaqueta', 'preto', 'tamanho']",jaqueta preto tamanho,True,False
89ebe1ab68deaa17,,tem body preto tamanho 46?,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,tem body preto tamanho 46,"['body', 'preto', 'tamanho']",body preto tamanho,True,False
4b145be6b812646b,,quero vestido verde 44,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,quero vestido verde 44,"['quero', 'vestido', 'verde']",quero vestido verde,True,False
e805790cbb5120b6,,tem camisa preto tamanho 42?,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,tem camisa preto tamanho 42,"['camisa', 'preto', 'tamanho']",camisa preto tamanho,True,False
1808c5a333655b81,,quero vestido verde 42,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,quero vestido verde 42,"['quero', 'vestido', 'verde']",quero vestido verde,True,False
60dcdbefd33cafa6,,tem body verde tamanho P?,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,tem body verde tamanho p,"['body', 'verde', 'tamanho']",body verde tamanho,True,False
f127e8970fc004ed,,tem body verde tamanho 40?,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,tem body verde tamanho 40,"['body', 'verde', 'tamanho']",body verde tamanho,True,False
44dc5685486318f4,,tem camisa verde tamanho GG?,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,tem camisa verde tamanho gg,"['camisa', 'verde', 'tamanho']",camisa verde tamanho,True,False
75146059a35f0f64,,tem vestido verde tamanho 44?,buscar_produto_por_categoria,raw,nan,False,original,train,,cliente,tem vestido verde tamanho 44,"['vestido', 'verde', 'tamanho']",vestido verde tamanho,True,False
